39 100 25
40 101 26
42 103 27
44 105 28
46 107 30
48 109 31
50 111 32
52 112 33
54 114 35
56 116 36
58 118 37
60 120 38
62 122 40
64 123 41
66 125 42
68 127 44
70 129 45
72 131 46
74 133 47
76 134 49
78 136 50
80 138 51
82 140 52
84 142 54
86 144 55
88 145 56
90 147 58
92 149 59
94 151 60
96 153 61
98 155 63
100 156 64
102 158 65
104 160 66
106 162 68
108 164 69
110 166 70
112 167 72
114 169 73
116 171 74
118 173 75
120 175 77
122 177 78
124 178 79
126 180 80
128 182 82
130 184 83
132 186 84
134 188 85
136 189 87
138 191 88
140 193 89
142 195 91
144 197 92
146 199 93
148 200 94
150 202 96
152 204 97
154 206 98
156 208 99
158 210 101
160 211 102
162 213 103
164 215 105
165 216 106
165 216 108
165 216 110
164 215 111
164 215 113
164 215 115
164 215 117
163 214 119
163 214 121
163 214 122
162 213 124
162 213 126
162 213 128
161 212 130
161 212 131
161 212 133
160 211 135
160 211 137
160 211 139
159 210 141
159 210 142
159 210 144
159 210 146
158 209 148
158 209 150
158 209 151
157 208 153
157 208 155
157 208 157
156 207 159
156 207 161
156 207 162
155 206 164
155 206 166
155 206 168
154 205 170
154 205 171
154 205 173
154 205 175
153 204 177
153 204 179
153 204 181
152 203 182
152 203 184
152 203 186
151 202 188
151 202 190
151 202 191
150 201 193
150 201 195
150 201 197
149 200 199
149 200 201
149 200 202
148 199 204
148 199 206
148 199 208
148 199 210
147 198 211
147 198 213
147 198 215
146 197 217
146 197 219
146 197 221
145 196 221
143 194 220
141 192 219
139 191 219
138 189 218
136 188 217
134 186 216
132 184 215
131 183 214
129 181 213
127 180 213
125 178 212
124 176 211
122 175 210
120 173 209
118 171 208
117 170 208
115 168 207
113 167 206
111 165 205
109 163 204
108 162 203
106 160 202
104 159 202
102 157 201
101 155 200
99 154 199
97 152 198
95 150 197
94 149 197
92 147 196
90 146 195
88 144 194
87 142 193
85 141 192
83 139 191
81 138 191
80 136 190
78 134 189
76 133 188
74 131 187
73 129 186
71 128 186
69 126 185
67 125 184
66 123 183
64 121 182
62 120 181
60 118 180
59 117 180
57 115 179
55 113 178
53 112 177
52 110 176
50 108 175
48 107 174
46 105 174
44 104 173
43 102 172
41 100 171
39 99 170
37 97 169
36 96 169
34 94 168
33 93 167
33 93 166
32 92 166
32 92 165
32 91 165
31 91 164
31 90 163
30 90 163
30 89 162
30 89 162
29 88 161
29 88 160
28 88 160
28 87 159
27 87 158
27 86 158
27 86 157
26 85 157
26 85 156
25 84 155
25 84 155
25 83 154
24 83 154
24 82 153
23 82 152
23 81 152
23 81 151
22 80 151
22 80 150
21 80 149
21 79 149
21 79 148
20 78 147
20 78 147
19 77 146
19 77 146
19 76 145
18 76 144
18 75 144
17 75 143
17 74 143
16 74 142
16 73 141
16 73 141
15 72 140
15 72 140
14 72 139
14 71 138
14 71 138
13 70 137
13 70 136
12 69 136
12 69 135
12 68 135
11 68 134
11 67 133
10 67 133
10 66 132
10 66 132
9 65 131
9 65 130
8 64 130
8 64 129
8 64 129
